geometry,address
POINT (32.833157 46.63084),"Пойма, 75112, Херсонська область, Україна"
POINT (32.833157 46.63084),"Пойма, 75112, Херсонська область, Україна"
POINT (32.611881 46.555939),"Кардашинка, 75611, Херсонська область, Україна"
POINT (36.70194615710751 48.84990325),"Іванівка, Харківська область, Україна"
POINT (38.2719 48.969501),"Шипилівка, 93311, Луганська область, Україна"
GEOMETRYCOLLECTION EMPTY,
POINT (35.6088208 49.8305999),"Валки, Харківська область, Україна"
POINT (38.1456729 49.4176663),"Сватове, Луганська область, Україна"
POINT (35.1182867 47.8507859),"Запоріжжя, 69000-69499, Запорізька область, Україна"
POINT (38.77693 47.99446),"Первомайське, 86596, Донецька область, Україна"
POINT (37.97562 49.590221),"Володимирівка, 92621, Луганська область, Україна"
POINT (36.22864281891215 50.01508035),"Харківський національний університет радіоелектроніки, Серпова вулиця, 61166, Серпова вулиця, Харків, Харківська область, Україна"
POINT (39.80312 48.90015),"Золотарівка, 93620, Луганська область, Україна"
POINT (37.92189 49.65934),"Ягідне, Харківська область, Україна"
POINT (37.92189 49.65934),"Ягідне, Харківська область, Україна"
POINT (37.7062717 49.7908984),"Лиман Перший, Харківська область, Україна"
POINT (37.50449 48.01068),"Красногорівка, 85630-85634, Донецька область, Україна"
POINT (33.2632062 46.7491957),"Дніпряни, 74987, Херсонська область, Україна"
POINT (32.89204 46.661678),"Підстепне, 75112, Херсонська область, Україна"
POINT (37.7819171 49.654182),"Піщане, Харківська область, Україна"
POINT (37.74208995 48.068628000000004),"Донецький міжнародний аеропорт (зруйновано), Київський проспект, 83018, Київський проспект, Донецьк, Донецька область, Україна"
POINT (32.945602 46.61668),"Челбурда, 75115, Херсонська область, Україна"
POINT (38.016858 47.9713858),"Маяк, 86195, Донецька область, Україна"
POINT (37.7466719 48.1338824),"Авдіївка, 86060-86075, Донецька область, Україна"
POINT (35.935589 47.16534),"Ланкове, 71223, Запорізька область, Україна"
POINT (37.7466719 48.1338824),"Авдіївка, 86060-86075, Донецька область, Україна"
POINT (37.98661 49.226582),"Макіївка, 92911, Луганська область, Україна"
